filepath, file no., pop_before_A, push_before_A, sgrow_before_A, sshrink_before_A,pop_in_A, push_in_A, sgrow_in_A, sshrink_in_A,pop_after_A, push_after_A, sgrow_after_A, sshrink_after_A,pop_total, push_total, sgrow_total, sshrink_total
programs/activity/v2_nb/trace_pa/vpython_006.txt,6,2332702,4265961,124,159735,39120,76008,16,1775,186,336,0,17,2372008,4342305,140,161527
programs/activity/v2_nb/trace_pa/vpython_016.txt,16,2332702,4265961,124,159735,40321,77743,18,1796,186,336,0,17,2373209,4344040,142,161548
programs/activity/v2_nb/trace_pa/vpython_005.txt,5,2332699,4265956,124,159735,40921,78343,18,1796,186,336,0,17,2373806,4344635,142,161548
programs/activity/v2_nb/trace_pa/vpython_015.txt,15,2332717,4265986,124,159735,45736,83176,18,1797,186,336,0,17,2378639,4349498,142,161549
programs/activity/v2_nb/trace_pa/vpython_004.txt,4,2332732,4266011,124,159735,51736,89176,18,1797,186,336,0,17,2384654,4355523,142,161549
programs/activity/v2_nb/trace_pa/vpython_014.txt,14,2332714,4265981,124,159735,99748,137194,18,1798,186,336,0,17,2432648,4403511,142,161550
programs/activity/v2_nb/trace_pa/vpython_003.txt,3,2332696,4265951,124,159735,159772,197230,18,1800,186,336,0,17,2492654,4463517,142,161552
programs/activity/v2_nb/trace_pa/vpython_013.txt,13,2332714,4265981,124,159735,639952,677500,18,1815,186,336,0,17,2972852,4943817,142,161567
programs/activity/v2_nb/trace_pa/vpython_002.txt,2,2332720,4265991,124,159735,1240934,1279674,18,1843,186,336,0,17,3573840,5546001,142,161595
programs/activity/v2_nb/trace_pa/vpython_011.txt,11,2332696,4265951,124,159735,3043114,3084346,18,1917,186,336,0,17,5375996,7350633,142,161669
programs/activity/v2_nb/trace_pa/vpython_012.txt,12,2332726,4266001,124,159735,6047258,6093366,18,2047,186,336,0,17,8380170,10359703,142,161799
programs/activity/v2_nb/trace_pa/vpython_017.txt,17,2332717,4265986,124,159735,9051414,9102404,18,2178,186,336,0,17,11384317,13368726,142,161930
programs/activity/v2_nb/trace_pa/vpython_001.txt,1,2332705,4265966,124,159735,12055558,12111424,18,2308,186,336,0,17,14388449,16377726,142,162060
programs/activity/v2_nb/trace_pa/vpython_007.txt,7,2332702,4265961,124,159735,15059714,15120462,18,2439,186,336,0,17,17392602,19386759,142,162191
programs/activity/v2_nb/trace_pa/vpython_008.txt,8,2332720,4265991,124,159735,18063092,18127632,18,2559,186,336,0,17,20395998,22393959,142,162311
programs/activity/v2_nb/trace_pa/vpython_009.txt,9,2332699,4265956,124,159735,21067248,21136670,18,2690,186,336,0,17,23400133,25402962,142,162442
